CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,FINGER_POSITIONS,NOTE_NAMES,FRETS
D#,m,1;b3;5,"x,1,3,4,2,1",D# A# D# F# A#,"x, 6, 8, 8, 7, 6"
D#,m,1;b3;5,"1,3,4,1,1,1",D# A# D# F# A# D#,"11, 1, 1, 11, 11, 11"
D#,7b5,1;3;b5;b7,"x,x,1,2,3,4",D# A C# G,"x, x, 1, 2, 2, 3"
D#,7b5,1;3;b5;b7,"x,1,2,1,3,x",D# A C# G,"x, 6, 7, 6, 8, x"
D#,7b5,1;3;b5;b7,"x,x,2,4,1,3",C# G A D#,"x, x, 11, 0, 10, 11"
D#,m7,1;b3;5;b7,"x,3,1,4,1,x",D# F# C# D#,"x, 6, 4, 6, 4, x"
D#,m7,1;b3;5;b7,"x,1,3,1,2,1",D# A# C# F# A#,"x, 6, 8, 6, 7, 6"
D#,m7,1;b3;5;b7,"1,3,1,1,4,1",D# A# C# F# C# D#,"11, 1, 11, 11, 2, 11"
D#,dim,1;b3;b5,"x,x,1,2,3,4",D# A D# F#,"x, x, 1, 2, 4, 2"
D#,dim,1;b3;b5,"x,1,2,3,4,x",D# A D# F#,"x, 6, 7, 8, 7, x"
D#,dim,1;b3;b5,"x,x,4,3,1,2",D# F# A D#,"x, x, 1, 11, 10, 11"
D#,6,1;3;5;6,"x,4,2,3,1,x",D# G C D#,"x, 6, 5, 5, 4, x"
D#,6,1;3;5;6,"x,1,3,3,3,3",D# A# D# G C,"x, 6, 8, 8, 8, 8"
D#,6,1;3;5;6,"1,x,3,2,4,1",D# D# G C D#,"11, x, 1, 0, 1, 11"
D#,7(#5),1;3;#5;b7,"x,1,2,1,1,x",C# G C D#,"x, 4, 5, 5, 4, x"
D#,7(#5),1;3;#5;b7,"x,1,4,1,3,2",D# C C# G C,"x, 6, 10, 6, 8, 8"
D#,7(#5),1;3;#5;b7,"1,x,1,2,3,1",D# C# G C D#,"11, x, 11, 0, 1, 11"
D#,7sus4,1;4;5;b7,"x,2,3,4,1,x",D# G# C# D#,"x, 6, 6, 6, 4, x"
D#,7sus4,1;4;5;b7,"x,1,3,1,4,1",D# A# C# G# A#,"x, 6, 8, 6, 9, 6"
D#,7sus4,1;4;5;b7,"1,3,1,4,1,1",D# A# C# G# A# D#,"11, 1, 11, 1, 11, 11"
D#,maj7,1;3;5;7,"x,4,3,1,1,1",D# G A# D G,"x, 6, 5, 3, 3, 3"
D#,maj7,1;3;5;7,"x,1,3,2,4,1",D# A# D G A#,"x, 6, 8, 7, 8, 6"
D#,maj7,1;3;5;7,"x,x,4,3,2,1",D# G A# D,"x, x, 1, 0, 11, 10"
D#,5,1;5,"x,1,3,4,x,x",D# A# D#,"x, 6, 8, 8, x, x"
D#,5,1;5,"x,1,3,x,x,x",D# A#,"x, 6, 8, x, x, x"
D#,5,1;5,"1,1,3,x,x,x",A# D# A#,"6, 6, 8, x, x, x"
D#,m6,1;b3;5;6,"x,3,1,2,1,x",D# F# C D#,"x, 6, 4, 5, 4, x"
D#,m6,1;b3;5;6,"x,1,x,3,2,4",D# D# F# C,"x, 6, x, 8, 7, 8"
D#,m6,1;b3;5;6,"1,x,3,1,4,1",D# D# F# C D#,"11, x, 1, 11, 1, 11"
D#,7(b9),1;3;5;b7;b9,"x,x,1,0,3,0",D# G C# E,"x, x, 1, 0, 2, 0"
D#,7(b9),1;3;5;b7;b9,"x,2,1,3,1,x",D# G C# E,"x, 6, 5, 6, 5, x"
D#,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3",D# C# G A# E,"11, x, 11, 0, 11, 0"
D#,m9,1;b3;5;b7;9,"x,2,1,3,4,x",D# F# C# F,"x, 6, 4, 6, 6, x"
D#,m9,1;b3;5;b7;9,"3,1,4,2,x,x",D# F# C# F,"11, 9, 11, 10, x, x"
D#,m9,1;b3;5;b7;9,"1,3,1,1,1,4",D# A# C# F# A# F,"11, 1, 11, 11, 11, 1"
D#,sus4,1;4;5,"x,3,4,1,2,x",D# G# A# D#,"x, 6, 6, 3, 4, x"
D#,sus4,1;4;5,"x,1,2,3,4,1",D# A# D# G# A#,"x, 6, 8, 8, 9, 6"
D#,sus4,1;4;5,"1,1,3,4,1,1",D# G# D# G# A# D#,"11, 11, 1, 1, 11, 11"
D#,6/9,1;3;5;6;9,"x,x,1,0,2,3",D# G C F,"x, x, 1, 0, 1, 1"
D#,6/9,1;3;5;6;9,"x,2,1,1,3,4",D# G C F A#,"x, 6, 5, 5, 6, 6"
D#,6/9,1;3;5;6;9,"2,1,1,1,3,4",D# G C F A# D#,"11, 10, 10, 10, 11, 11"
F#,9(#5),1;3;#5;b7;9,"x,1,2,1,1,x",E A# D F#,"x, 7, 8, 7, 7, x"
F#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4",F# E A# D# G#,"2, x, 2, 3, 4, 4"
F#,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4",F# A# E G# D#,"x, 9, 8, 9, 9, 11"
F#,13,1;3;5;b7;9;11;13,"x,1,3,1,1,4",F# C# E G# D#,"x, 9, 11, 9, 9, 11"
F#,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x",F# E A# D#,"2, x, 2, 3, 4, x"
F#,13,1;3;5;b7;9;11;13,"x,1,3,4,2,x",E A# D# F#,"x, 7, 8, 8, 7, x"
F#,13,1;3;5;b7;9;11;13,"x,x,1,2,2,4",A# E G# D#,"x, x, 8, 9, 9, 11"
F#,7(#9),1;3;5;b7;#9,"2,1,3,3,3,3",F# A# E A C# F#,"2, 1, 2, 2, 2, 2"
F#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4",F# C# E A# C# A,"2, 4, 2, 3, 2, 5"
F#,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x",F# A# E A,"x, 9, 8, 9, 10, x"
F#,9,1;3;5;b7;9,"x,x,2,1,3,4",E G# C# F#,"x, x, 2, 1, 2, 2"
F#,9,1;3;5;b7;9,"x,x,1,3,2,1",F# C# E G#,"x, x, 4, 6, 5, 4"
F#,9,1;3;5;b7;9,"x,2,1,3,4,x",F# A# E G#,"x, 9, 8, 9, 9, x"
F#,9,1;3;5;b7;9,"x,2,1,3,3,3",F# A# E G# C#,"x, 9, 8, 9, 9, 9"
F#,9,1;3;5;b7;9,"x,x,3,2,1,4",E G# A# F#,"x, x, 2, 1, 11, 2"
F#,9,1;3;5;b7;9,"x,1,3,2,4,x",A# E G# C#,"x, 1, 2, 1, 2, x"
F#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4",F# A# E G# C F#,"2, 1, 2, 1, 1, 2"
F#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1",F# C E G#,"x, x, 4, 5, 5, 4"
F#,9b5,1;3;b5;b7;9,"1,2,1,3,4,1",C F# A# E G# C,"8, 9, 8, 9, 9, 8"
F#,7,1;3;5;b7,"1,3,1,2,4,1",F# C# E A# E F#,"2, 4, 2, 3, 5, 2"
F#,7,1;3;5;b7,"x,3,2,4,1,x",F# A# E F#,"x, 9, 8, 9, 7, x"
F#,7,1;3;5;b7,"x,1,3,1,4,1",F# C# E A# C#,"x, 9, 11, 9, 11, 9"
F#,7,1;3;5;b7,"1,3,1,2,1,1",F# C# E A# C# F#,"2, 4, 2, 3, 2, 2"
F#,7,1;3;5;b7,"1,x,2,4,3,x",F# E A# C#,"2, x, 2, 3, 2, x"
F#,7,1;3;5;b7,"x,x,x,2,1,3",C# E A#,"x, x, x, 6, 5, 6"
F#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x",A Eb F# C,"5, 6, 4, 5, x, x"
F#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",A Eb F# C,"x, 0, 1, 11, 1, x"
F#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",Eb A C F#,"x, x, 1, 2, 1, 2"
F#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",F# C Eb A,"x, x, 4, 5, 4, 5"
F#,dim7,1;b3;b5;bb7,"1,2,3,1,4,1",F# C F# A Eb F#,"2, 3, 4, 2, 4, 2"
F#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",F# C Eb A,"x, 9, 10, 8, 10, x"
F#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",Eb A C F#,"x, x, 1, 2, 1, 2"
F#,dim7,1;b3;b5;bb7,"2,x,1,3,1,x",F# Eb A C,"2, x, 1, 2, 1, x"
F#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",Eb A C F#,"x, 6, 7, 5, 7, x"
F#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",C F# A Eb,"x, x, 10, 11, 10, 11"
F#,dim7,1;b3;b5;bb7,"2,x,1,3,1,x",C A Eb F#,"8, x, 7, 8, 7, x"
F#,aug,1;3;#5,"x,3,2,1,1,x",D F# A# D,"x, 5, 4, 3, 3, x"
F#,aug,1;3;#5,"4,3,2,1,x,x",A# D F# A#,"6, 5, 4, 3, x, x"
F#,aug,1;3;#5,"x,x,4,2,3,1",D F# A# D,"x, x, 0, 11, 11, 10"
F#,aug,1;3;#5,"2,1,0,x,x,x",F# A# D,"2, 1, 0, x, x, x"
F#,aug,1;3;#5,"x,3,2,1,1,x",F# A# D F#,"x, 9, 8, 7, 7, x"
F#,maj,1;3;5,"1,3,4,2,1,1",F# C# F# A# C# F#,"2, 4, 4, 3, 2, 2"
F#,maj,1;3;5,"x,4,3,1,2,1",F# A# C# F# A#,"x, 9, 8, 6, 7, 6"
F#,maj,1;3;5,"x,1,3,3,3,x",F# C# F# A#,"x, 9, 11, 11, 11, x"
F#,maj,1;3;5,"1,3,4,2,x,x",F# C# F# A#,"2, 4, 4, 3, x, x"
F#,maj,1;3;5,"x,x,3,1,2,x",A# C# F#,"x, x, 8, 6, 7, x"
F#,maj,1;3;5,"2,1,x,x,x,x",F# A#,"2, 1, x, x, x, x"
F#,maj,1;3;5,"x,x,x,1,3,2",C# F# A#,"x, x, x, 6, 7, 6"
F#,maj,1;3;5,"x,x,3,2,1,1",F# A# C# F#,"x, x, 4, 3, 2, 2"
F#,maj,1;3;5,"x,x,3,3,3,x",C# F# A#,"x, x, 11, 11, 11, x"
F#,maj,1;3;5,"1,3,x,2,x,x",F# C# A#,"2, 4, x, 3, x, x"
F#,maj,1;3;5,"1,4,x,x,x,x",A# F#,"6, 9, x, x, x, x"
F#,11,1;3;5;b7;9;11,"2,x,3,1,0,0",F# E G# B E,"2, x, 2, 1, 0, 0"
F#,11,1;3;5;b7;9;11,"x,x,1,1,2,1",F# B E G#,"x, x, 4, 4, 5, 4"
F#,11,1;3;5;b7;9;11,"x,1,1,1,1,1",F# B E G# C#,"x, 9, 9, 9, 9, 9"
F#,maj9,1;3;5;7;9,"x,x,4,1,2,1",F# G# C# F,"x, x, 4, 1, 2, 1"
F#,maj9,1;3;5;7;9,"x,4,1,1,1,1",F# G# C# F A#,"x, 9, 6, 6, 6, 6"
F#,maj9,1;3;5;7;9,"x,2,1,4,3,x",F# A# F G#,"x, 9, 8, 10, 9, x"
F#,m11,1;b3;5;b7;9;11,"x,3,1,4,0,0",F# A E B E,"x, 9, 7, 9, 0, 0"
F#,m11,1;b3;5;b7;9;11,"1,3,4,1,0,0",F# C# F# A B E,"2, 4, 4, 2, 0, 0"
F#,m11,1;b3;5;b7;9;11,"x,1,1,1,2,x",F# B E A,"x, 9, 9, 9, 10, x"
F#,m11,1;b3;5;b7;9;11,"2,x,3,4,0,x",F# E A B,"2, x, 2, 2, 0, x"
F#,m11,1;b3;5;b7;9;11,"2,x,3,4,0,0",F# E A B E,"2, x, 2, 2, 0, 0"
F#,m11,1;b3;5;b7;9;11,"x,1,3,4,0,0",F# C# F# B E,"x, 9, 11, 11, 0, 0"
F#,m11,1;b3;5;b7;9;11,"x,x,3,1,4,x",C# E B,"x, x, 11, 9, 0, x"
F#,m11,1;b3;5;b7;9;11,"x,1,4,1,2,1",C# A B E G#,"x, 4, 7, 4, 5, 4"
F#,m,1;b3;5,"1,3,4,1,1,1",F# C# F# A C# F#,"2, 4, 4, 2, 2, 2"
F#,m,1;b3;5,"x,x,1,3,4,2",F# C# F# A,"x, x, 4, 6, 7, 5"
F#,m,1;b3;5,"x,1,3,4,2,1",F# C# F# A C#,"x, 9, 11, 11, 10, 9"
F#,m,1;b3;5,"x,1,3,4,2,x",F# C# F# A,"x, 9, 11, 11, 10, x"
F#,m,1;b3;5,"x,x,3,1,1,1",F# A C# F#,"x, x, 4, 2, 2, 2"
F#,7b5,1;3;b5;b7,"1,3,2,4,x,x",F# C E A#,"2, 3, 2, 3, x, x"
F#,7b5,1;3;b5;b7,"x,x,1,2,3,4",F# C E A#,"x, x, 4, 5, 5, 6"
F#,7b5,1;3;b5;b7,"x,1,2,1,3,x",F# C E A#,"x, 9, 10, 9, 11, x"
F#,m7,1;b3;5;b7,"1,3,1,1,4,1",F# C# E A E F#,"2, 4, 2, 2, 5, 2"
F#,m7,1;b3;5;b7,"x,x,1,4,2,3",F# C# E A,"x, x, 4, 6, 5, 5"
F#,m7,1;b3;5;b7,"x,1,3,1,2,1",F# C# E A C#,"x, 9, 11, 9, 10, 9"
F#,m7,1;b3;5;b7,"1,3,1,1,1,1",F# C# E A C# F#,"2, 4, 2, 2, 2, 2"
F#,m7,1;b3;5;b7,"x,2,1,3,4,x",F# A E A,"x, 9, 7, 9, 10, x"
F#,m7,1;b3;5;b7,"2,x,3,3,3,x",F# E A C#,"2, x, 2, 2, 2, x"
F#,m7,1;b3;5;b7,"2,x,3,3,x,x",F# E A,"2, x, 2, 2, x, x"
F#,m7,1;b3;5;b7,"x,2,x,3,4,x",F# E A,"x, 9, x, 9, 10, x"
F#,m7,1;b3;5;b7,"x,x,1,1,1,1",E A C# F#,"x, x, 2, 2, 2, 2"
F#,m7,1;b3;5;b7,"1,3,1,1,1,4",F# C# E A C# A,"2, 4, 2, 2, 2, 5"
F#,dim,1;b3;b5,"1,2,3,1,x,x",F# C F# A,"2, 3, 4, 2, x, x"
F#,dim,1;b3;b5,"x,x,1,2,4,3",F# C F# A,"x, x, 4, 5, 7, 5"
F#,dim,1;b3;b5,"x,1,2,3,4,x",F# C F# A,"x, 9, 10, 11, 10, x"
F#,dim,1;b3;b5,"x,x,3,1,4,x",A C F#,"x, x, 7, 5, 7, x"
F#,dim,1;b3;b5,"2,x,4,3,1,x",F# F# A C,"2, x, 4, 2, 1, x"
F#,dim,1;b3;b5,"x,0,1,2,4,3",A F# C F# A,"x, 0, 4, 5, 7, 5"
F#,6,1;3;5;6,"1,x,3,2,4,1",F# F# A# D# F#,"2, x, 4, 3, 4, 2"
F#,6,1;3;5;6,"x,4,2,3,1,x",F# A# D# F#,"x, 9, 8, 8, 7, x"
F#,6,1;3;5;6,"x,1,3,3,3,3",F# C# F# A# D#,"x, 9, 11, 11, 11, 11"
F#,6,1;3;5;6,"2,x,1,4,3,x",F# D# A# C#,"2, x, 1, 3, 2, x"
F#,7(#5),1;3;#5;b7,"1,x,1,2,3,1",F# E A# D F#,"2, x, 2, 3, 3, 2"
F#,7(#5),1;3;#5;b7,"x,1,2,1,1,x",E A# D F#,"x, 7, 8, 7, 7, x"
F#,7(#5),1;3;#5;b7,"x,1,4,1,3,2",F# D E A# D,"x, 9, 0, 9, 11, 10"
F#,7sus4,1;4;5;b7,"1,3,1,4,1,1",F# C# E B C# F#,"2, 4, 2, 4, 2, 2"
F#,7sus4,1;4;5;b7,"x,2,3,4,1,x",F# B E F#,"x, 9, 9, 9, 7, x"
F#,7sus4,1;4;5;b7,"x,1,3,1,4,1",F# C# E B C#,"x, 9, 11, 9, 0, 9"
F#,7sus4,1;4;5;b7,"x,x,3,4,2,0",F# B C# E,"x, x, 4, 4, 2, 0"
F#,maj7,1;3;5;7,"1,4,2,3,1,x",F# C# F A# C#,"2, 4, 3, 3, 2, x"
F#,maj7,1;3;5;7,"x,4,3,1,1,1",F# A# C# F A#,"x, 9, 8, 6, 6, 6"
F#,maj7,1;3;5;7,"x,1,3,2,4,1",F# C# F A# C#,"x, 9, 11, 10, 11, 9"
F#,5,1;5,"1,3,x,x,x,x",F# C#,"2, 4, x, x, x, x"
F#,5,1;5,"1,3,4,x,x,x",F# C# F#,"2, 4, 4, x, x, x"
F#,5,1;5,"x,1,3,4,x,x",F# C# F#,"x, 9, 11, 11, x, x"
F#,7(#11),1;3;5;b7;#11,"x,1,3,2,x,x",F# C E,"x, 9, 10, 9, x, x"
F#,7(#11),1;3;5;b7;#11,"2,x,3,4,1,x",F# E A# C,"2, x, 2, 3, 1, x"
F#,7(#11),1;3;5;b7;#11,"2,x,3,4,1,0",F# E A# C E,"2, x, 2, 3, 1, 0"
F#,m6,1;b3;5;6,"1,x,3,1,4,1",F# F# A D# F#,"2, x, 4, 2, 4, 2"
F#,m6,1;b3;5;6,"x,3,1,2,1,x",F# A D# F#,"x, 9, 7, 8, 7, x"
F#,m6,1;b3;5;6,"x,1,x,3,2,4",F# F# A D#,"x, 9, x, 11, 10, 11"
F#,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3",F# E A# C# G,"2, x, 2, 3, 2, 3"
F#,7(b9),1;3;5;b7;b9,"x,x,2,1,3,1",F# A# E G,"x, x, 4, 3, 5, 3"
F#,7(b9),1;3;5;b7;b9,"x,2,1,3,1,x",F# A# E G,"x, 9, 8, 9, 8, x"
F#,m9,1;b3;5;b7;9,"1,3,1,1,1,4",F# C# E A C# G#,"2, 4, 2, 2, 2, 4"
F#,m9,1;b3;5;b7;9,"x,x,2,1,4,3",F# A E G#,"x, x, 4, 2, 5, 4"
F#,m9,1;b3;5;b7;9,"x,2,1,3,4,x",F# A E G#,"x, 9, 7, 9, 9, x"
F#,sus4,1;4;5,"1,1,3,4,1,1",F# B F# B C# F#,"2, 2, 4, 4, 2, 2"
F#,sus4,1;4;5,"x,3,4,1,2,x",F# B C# F#,"x, 9, 9, 6, 7, x"
F#,sus4,1;4;5,"x,1,2,3,4,1",F# C# F# B C#,"x, 9, 11, 11, 0, 9"
F#,sus4,1;4;5,"x,1,3,3,4,x",F# C# F# B,"x, 9, 11, 11, 0, x"
F#,6/9,1;3;5;6;9,"2,1,1,1,3,4",F# A# D# G# C# F#,"2, 1, 1, 1, 2, 2"
F#,6/9,1;3;5;6;9,"x,x,2,1,3,4",F# A# D# G#,"x, x, 4, 3, 4, 4"
F#,6/9,1;3;5;6;9,"x,2,1,1,3,4",F# A# D# G# C#,"x, 9, 8, 8, 9, 9"
G#,13,1;3;5;b7;9;11;13,"3,x,4,2,1,1",G# F# A# C F,"4, x, 4, 3, 1, 1"
G#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4",G# F# C F A#,"4, x, 4, 5, 6, 6"
G#,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4",G# C F# A# F,"x, 11, 10, 11, 11, 1"
G#,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x",G# F# C F,"4, x, 4, 5, 6, x"
G#,7(#9),1;3;5;b7;#9,"2,1,3,3,3,3",G# C F# C D# G#,"4, 3, 4, 5, 4, 4"
G#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4",G# D# F# C D# C,"4, 6, 4, 5, 4, 8"
G#,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x",G# C F# C,"x, 11, 10, 11, 1, x"
G#,9,1;3;5;b7;9,"x,1,3,2,4,x",C F# A# D#,"x, 3, 4, 3, 4, x"
G#,9,1;3;5;b7;9,"x,x,2,1,3,4",F# A# D# G#,"x, x, 4, 3, 4, 4"
G#,9,1;3;5;b7;9,"x,2,1,3,4,x",G# C F# A#,"x, 11, 10, 11, 11, x"
G#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4",G# C F# A# D G#,"4, 3, 4, 3, 3, 4"
G#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1",G# D F# A#,"x, x, 6, 7, 7, 6"
G#,9b5,1;3;b5;b7;9,"1,2,1,3,4,1",D G# C F# A# D,"10, 11, 10, 11, 11, 10"
G#,7,1;3;5;b7,"x,x,1,1,1,2",D# G# C F#,"x, x, 1, 1, 1, 2"
G#,7,1;3;5;b7,"1,3,1,2,4,1",G# D# F# C F# G#,"4, 6, 4, 5, 7, 4"
G#,7,1;3;5;b7,"x,1,3,1,4,1",G# D# F# C D#,"x, 11, 1, 11, 1, 11"
G#,7,1;3;5;b7,"1,3,1,2,1,1",G# D# F# C D# G#,"4, 6, 4, 5, 4, 4"
G#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x",G# D F B,"4, 5, 3, 4, x, x"
G#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",F B D G#,"x, 8, 9, 7, 9, x"
G#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",B F G# D,"x, x, 9, 10, 9, 10"
G#,dim7,1;b3;b5;bb7,"2,x,1,3,1,x",G# F B D,"4, x, 3, 4, 3, x"
G#,dim7,1;b3;b5;bb7,"x,x,x,2,1,3",F G# D,"x, x, x, 10, 9, 10"
G#,dim7,1;b3;b5;bb7,"x,x,x,2,1,3",G# B F,"x, x, x, 1, 0, 1"
G#,aug,1;3;#5,"x,3,2,1,1,x",F G# C F,"x, 8, 6, 5, 6, x"
G#,aug,1;3;#5,"4,3,2,1,x,x",C F G# C,"8, 8, 6, 5, x, x"
G#,aug,1;3;#5,"x,x,4,2,3,1",F G# C F,"x, x, 3, 1, 1, 1"
G#,maj,1;3;5,"x,x,1,1,1,4",D# G# C G#,"x, x, 1, 1, 1, 4"
G#,maj,1;3;5,"1,3,4,2,1,1",G# D# G# C D# G#,"4, 6, 6, 5, 4, 4"
G#,maj,1;3;5,"x,4,3,1,2,1",G# C D# G# C,"x, 11, 10, 8, 9, 8"
G#,maj,1;3;5,"x,3,1,1,1,x",C D# G# C,"x, 3, 1, 1, 1, x"
G#,11,1;3;5;b7;9;11,"3,x,4,2,1,1",G# F# A# C# F#,"4, x, 4, 3, 2, 2"
G#,11,1;3;5;b7;9;11,"x,x,1,1,2,1",G# C# F# A#,"x, x, 6, 6, 7, 6"
G#,11,1;3;5;b7;9;11,"x,1,1,1,1,1",G# C# F# A# D#,"x, 11, 11, 11, 11, 11"
G#,maj9,1;3;5;7;9,"2,1,4,1,3,x",G# C G A# D#,"4, 3, 5, 3, 4, x"
G#,maj9,1;3;5;7;9,"x,x,4,1,2,1",G# A# D# G,"x, x, 6, 3, 4, 3"
G#,maj9,1;3;5;7;9,"x,2,1,4,3,x",G# C G A#,"x, 11, 10, 0, 11, x"
G#,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x",G# F# B C#,"4, x, 4, 4, 2, x"
G#,m7b5,1;b3;b5;b7,"2,x,3,4,1,x",G# F# B D,"4, x, 4, 4, 3, x"
G#,m,1;b3;5,"1,3,4,1,1,1",G# D# G# B D# G#,"4, 6, 6, 4, 4, 4"
G#,m,1;b3;5,"x,x,1,3,4,2",G# D# G# B,"x, x, 6, 8, 9, 7"
G#,m,1;b3;5,"x,1,3,4,2,1",G# D# G# B D#,"x, 11, 1, 1, 0, 11"
G#,m,1;b3;5,"x,3,4,1,1,x",D# G# B D#,"x, 6, 6, 4, 4, x"
G#,m,1;b3;5,"1,4,x,2,x,x",G# D# B,"4, 6, x, 4, x, x"
G#,m,1;b3;5,"3,1,x,x,x,x",G# B,"4, 2, x, x, x, x"
G#,m,1;b3;5,"1,3,4,1,1,x",G# D# G# B D#,"4, 6, 6, 4, 4, x"
G#,7b5,1;3;b5;b7,"x,x,2,4,1,3",F# C D G#,"x, x, 4, 5, 3, 4"
G#,7b5,1;3;b5;b7,"1,3,2,4,x,x",G# D F# C,"4, 5, 4, 5, x, x"
G#,7b5,1;3;b5;b7,"x,x,1,2,3,4",G# D F# C,"x, x, 6, 7, 7, 8"
G#,m7,1;b3;5;b7,"1,3,1,1,4,1",G# D# F# B F# G#,"4, 6, 4, 4, 7, 4"
G#,m7,1;b3;5;b7,"x,x,1,4,2,3",G# D# F# B,"x, x, 6, 8, 7, 7"
G#,m7,1;b3;5;b7,"x,1,3,1,2,1",G# D# F# B D#,"x, 11, 1, 11, 0, 11"
G#,m7,1;b3;5;b7,"2,x,3,3,3,x",G# F# B D#,"4, x, 4, 4, 4, x"
G#,m7,1;b3;5;b7,"1,3,1,1,1,4",G# D# F# B D# B,"4, 6, 4, 4, 4, 7"
G#,m7,1;b3;5;b7,"2,1,3,4,0,x",G# B F# B B,"4, 2, 4, 4, 0, x"
G#,m7,1;b3;5;b7,"2,x,3,4,x,x",G# F# B,"4, x, 4, 4, x, x"
G#,m7,1;b3;5;b7,"x,2,1,3,4,x",G# B F# B,"x, 11, 9, 11, 0, x"
G#,m7,1;b3;5;b7,"1,3,1,1,1,1",G# D# F# B D# G#,"4, 6, 4, 4, 4, 4"
G#,m7,1;b3;5;b7,"1,3,1,1,1,x",G# D# F# B D#,"4, 6, 4, 4, 4, x"
G#,dim,1;b3;b5,"x,x,4,3,1,2",G# B D G#,"x, x, 6, 4, 3, 4"
G#,dim,1;b3;b5,"1,2,4,1,x,x",G# D G# B,"4, 5, 6, 4, x, x"
G#,dim,1;b3;b5,"x,1,2,4,3,x",G# D G# B,"x, 11, 0, 1, 0, x"
G#,dim,1;b3;b5,"x,x,3,1,4,x",B D G#,"x, x, 9, 7, 9, x"
G#,dim,1;b3;b5,"x,x,x,2,1,3",B D G#,"x, x, x, 4, 3, 4"
G#,dim,1;b3;b5,"2,x,x,3,1,x",G# B D,"4, x, x, 4, 3, x"
G#,dim,1;b3;b5,"x,x,x,3,2,1",G# B D,"x, x, x, 1, 0, 10"
G#,6,1;3;5;6,"x,x,1,1,1,1",D# G# C F,"x, x, 1, 1, 1, 1"
G#,6,1;3;5;6,"1,x,3,2,4,1",G# G# C F G#,"4, x, 6, 5, 6, 4"
G#,6,1;3;5;6,"x,4,2,3,1,x",G# C F G#,"x, 11, 10, 10, 9, x"
G#,7(#5),1;3;#5;b7,"1,x,1,2,3,1",G# F# C F G#,"4, x, 4, 5, 6, 4"
G#,7(#5),1;3;#5;b7,"x,1,2,1,1,x",F# C F G#,"x, 9, 10, 10, 9, x"
G#,7(#5),1;3;#5;b7,"x,1,4,1,3,2",G# F F# C F,"x, 11, 3, 11, 1, 1"
G#,7sus4,1;4;5;b7,"x,x,1,1,2,3",D# G# C# F#,"x, x, 1, 1, 2, 2"
G#,7sus4,1;4;5;b7,"1,3,1,4,1,1",G# D# F# C# D# G#,"4, 6, 4, 6, 4, 4"
G#,7sus4,1;4;5;b7,"x,x,1,3,2,4",G# D# F# C#,"x, x, 6, 8, 7, 9"
G#,maj7,1;3;5;7,"x,x,4,3,2,1",G# C D# G,"x, x, 6, 5, 4, 3"
G#,maj7,1;3;5;7,"1,4,2,3,1,x",G# D# G C D#,"4, 6, 5, 5, 4, x"
G#,maj7,1;3;5;7,"x,4,3,1,1,1",G# C D# G C,"x, 11, 10, 8, 8, 8"
G#,5,1;5,"1,3,x,x,x,x",G# D#,"4, 6, x, x, x, x"
G#,5,1;5,"1,3,4,x,x,x",G# D# G#,"4, 6, 6, x, x, x"
G#,5,1;5,"x,1,3,x,x,x",G# D#,"x, 11, 1, x, x, x"
G#,7(#11),1;3;5;b7;#11,"x,1,3,2,x,x",G# D F#,"x, 11, 0, 11, x, x"
G#,m6,1;b3;5;6,"x,x,1,2,0,3",D# G# B F,"x, x, 1, 1, 0, 1"
G#,m6,1;b3;5;6,"1,x,3,1,4,1",G# G# B F G#,"4, x, 6, 4, 6, 4"
G#,m6,1;b3;5;6,"x,3,1,2,1,x",G# B F G#,"x, 11, 9, 10, 9, x"
G#,m6,1;b3;5;6,"2,x,1,3,3,3",G# F B D# G#,"4, x, 3, 4, 4, 4"
